Start,arrivals,departures
"Kennington Road  , Vauxhall",9870,10894
"Kennington Road Post Office, Oval",9907,10145
"Kennington Station, Kennington",9376,9464
"Kensington Church Street, Kensington",12619,12835
"Kensington Gore, Knightsbridge",7862,8457
"Kensington Olympia Station, Olympia",6269,6668
"Kensington Town Hall, Kensington",5591,5767
"Killick Street, King's Cross",4674,5607
"King Edward Walk, Waterloo",4447,4752
"Kings Gate House, Westminster",10198,8843
"Kingsway Southbound, Strand",13416,12321
"Kingsway, Covent Garden",5102,5028
"Knaresborough Place, Earl's Court",8446,8722
"Knightsbridge, Hyde Park",11167,14173
"LMU Commercial Road, Whitechapel",11604,12065
"LSBU (Borough Road), Elephant & Castle",8419,8304
"Lambeth North Station, Waterloo",9134,9153
"Lambeth Palace Road, Waterloo",24146,23868
"Lambeth Road, Vauxhall",7867,7888
"Lancaster Drive, Blackwall",3461,3497
"Lancaster Gate , Bayswater",11056,14031
"Lansdowne Road, Ladbroke Grove",11182,11211
"Lansdowne Walk, Ladbroke Grove",2252,3093
"Lansdowne Way Bus Garage, Stockwell",3099,3522
"Lavington Street, Bankside",14441,13851
"Leman Street, Aldgate",26099,26085
"Leonard Circus , Shoreditch",27913,25380
"Lexham Gardens, Kensington",10691,11324
"Limburg Road, Clapham Junction",2465,2710
"Limerston Street, West Chelsea",25399,25366
"Lincoln's Inn Fields, Holborn",10802,10149
"Lisson Grove, St. John's Wood",4962,5946
"Little Argyll Street, West End",27736,25688
"Liverpool Road (N1 Centre), Angel",15461,15535
"Lollard Street, Vauxhall",11902,12953
"London Zoo Car Park, The Regent's Park",8222,8813
"London Zoo,  The Regent's Park",8060,8511
"Long Lane , Bermondsey",11065,11569
"Longford Street, The Regent's Park",6277,7469
"Lord's, St. John's Wood",3223,4149
"Lots Road, West Chelsea",8554,9133
"Lower Marsh, Waterloo",12854,12476
"Lower Thames Street, Monument",9860,9607
"Macclesfield Rd, St Lukes",9928,12834
"Maclise Road, Olympia",11192,11513
"Maida Vale, Maida Vale",10009,10090
"Malet Street, Bloomsbury",24566,24499
"Manresa Road, Chelsea",10578,10524
"Margery Street, Clerkenwell",9151,9830
"Marloes Road, Kensington",5143,5529
"Marylebone Lane, Marylebone",17844,16970
"Mexfield Road, East Putney",2466,2769
"Michael Road, Walham Green",8124,8326
"Millbank Tower, Pimlico",17345,16965
"Millennium Hotel, Mayfair",8056,7137
"Milroy Walk, South Bank",18232,17683
"Montpelier Street, Knightsbridge",16966,16060
"Montserrat Road , Putney",5167,4327
"Monument Street, Monument",23316,21235
"Moor Street, Soho",24055,22673
"Moorfields, Moorgate",29137,26972
"Morie Street, Wandsworth",2500,2238
"Mostyn Grove, Bow",6964,7596
"Murray Grove , Hoxton",6056,7431
"Museum of London, Barbican",18776,18707
"Nantes Close, Wandsworth",3942,4087
"Napier Avenue, Millwall",4321,4263
"Natural History Museum, South Kensington",15891,15068
"Nesham Street, Wapping",27724,27887
"Neville Gill Close, Wandsworth",6008,5686
"New Cavendish Street, Marylebone",14233,13808
"New Fetter Lane, Holborn",17035,17249
"New Globe Walk, Bankside",13554,13343
"New Kent Road, The Borough",9261,9734
"New North Road 1, Hoxton",2525,4515
"New North Road 2, Hoxton",4206,4947
"New Road 1 , Whitechapel",17515,17402
"New Spring Gardens Walk, Vauxhall",9576,8097
"Newgate Street , St. Paul's",38519,33735
"Newton Street, Covent Garden",9581,9154
"Normand Park, West Kensington",14831,15157
"Normandy Road, Stockwell",8047,8023
"North Wharf Road, Paddington",11585,12643
"Northdown Street, King's Cross",8416,9109
"Northington Street , Holborn",16486,16389
"Northumberland Avenue, Strand",24739,20241
"Norton Folgate, Liverpool Street",18434,15294
"Notting Hill Gate Station, Notting Hill",20005,24365
"Nutford Place, Marylebone",7231,7860
"Old Brompton Road, South Kensington",13136,13808
"Old Ford Road, Bethnal Green",11091,12101
"Old Montague Street, Whitechapel",11466,11694
"Old Quebec Street, Marylebone",25903,25492
"Old Street Station, St. Luke's",29713,28723
"Olympia Way, Olympia",7479,7869
"One Tower Bridge, Bermondsey",8368,8318
"Ontario Street, Elephant & Castle",15690,15562
"Orbel Street, Battersea",7100,7872
"Ormonde Gate, Chelsea",9847,9914
"Orsett Terrace, Bayswater",3220,3953
"Osiers Road, Wandsworth",8213,8444
"Ossulston Street, Somers Town",13899,14515
"Oval Way, Vauxhall",3666,3324
"Paddington Green Police Station, Paddington",4560,5591
"Paddington Green, Paddington",2402,3045
"Paddington Street, Marylebone",10400,10441
"Page Street, Westminster",18740,17775
"Palace Gardens Terrace, Notting Hill",12742,15281
"Palace Gate, Kensington Gardens",32274,32475
"Palissy Street, Shoreditch",7585,8799
"Pall Mall East, West End",18374,15041
"Pancras Road, King's Cross",8021,8313
"Panton Street, West End",19975,18317
"Park Lane , Hyde Park",34294,34351
"Park Lane, Mayfair",9522,9590
"Park Road (Baker Street), The Regent's Park",14032,14619
"Park Street, Bankside",8162,7718
"Parkway, Camden Town",10206,8885
"Parson's Green , Parson's Green",17227,17656
"Pembridge Villas, Notting Hill",7847,8938
"Penfold Street, Marylebone",4097,4827
"Penywern Road, Earl's Court",13872,14504
"Percival Street, Finsbury",10344,11333
"Peterborough Road, Sands End",4749,5335
"Phene Street, Chelsea",11227,11670
"Phillimore Gardens, Kensington",15741,15270
"Philpot Street, Whitechapel",10751,11774
"Pindar Street, Liverpool Street",20188,19122
"Pitfield Street Central, Hoxton",8325,10705
"Pitfield Street North,Hoxton",14275,16411
"Plough Terrace, Clapham Junction",4456,4958
"Pont Street, Knightsbridge",12380,11827
"Porchester Place, Paddington",16263,17054
"Portland Place, Marylebone",12278,12317
"Portman Square, Marylebone",11589,10949
"Pott Street, Bethnal Green",15014,15485
"Poured Lines, Bankside",11454,11045
"Prince Albert Road, The Regent's Park",11590,12334
"Prince Consort Road, Knightsbridge",9741,9166
"Prince of Wales Drive, Battersea Park",9867,10465
"Princedale Road , Holland Park",5930,6188
"Princes Square, Bayswater",6024,6929
"Pritchard's Road, Bethnal Green",18956,20328
"Putney Bridge Station, Fulham",10000,10071
"Putney Rail Station, Putney",4983,4924
"Queen Mary's, Mile End",12283,12844
"Queen Mother Sports Centre, Victoria",17375,16293
"Queen Street 1, Bank",37161,35939
"Queen Street 2, Bank",34722,27154
"Queen Victoria Street, St. Paul's",21429,19752
"Queen's Gate (Central), South Kensington",11069,10930
"Queen's Gate (North), Kensington",14000,14290
"Queen's Gate (South), South Kensington",10908,11098
"Queen's Gate, Kensington Gardens",26658,26768
"Queensdale Road, Shepherd's Bush",3490,3383
"Ram Street, Wandsworth",11502,11184
"Rampayne Street, Pimlico",14396,15209
"Ranelagh Gardens, Fulham",5127,5093
"Rathbone Street, Fitzrovia",10707,10449
"Ravenscourt Park Station, Hammersmith",9610,9123
"Reardon Street, Wapping",10814,11336
"Red Lion Square, Holborn",8983,8986
"Red Lion Street, Holborn",22647,22524
"Regency Street, Westminster",9674,10329
"Regent's Row , Haggerston ",35233,36074
"Richmond Way, Shepherd's Bush",9240,9130
"Rifle Place, Avondale",4422,4326
"Risinghill Street, Angel",4062,7186
"River Street , Clerkenwell",5206,7633
"Riverlight North, Nine Elms",14995,15302
"Riverlight South, Nine Elms",12218,13256
"Rochester Row, Westminster",10017,8718
"Rodney Road , Walworth",11272,12134
"Roscoe Street, St. Luke's",11592,11389
"Rossmore Road, Marylebone",3882,4677
"Royal Avenue 1, Chelsea",7603,7288
"Royal Avenue 2, Chelsea",13212,12897
"Royal College Street, Camden Town",7989,9367
"Royal London Hospital, Whitechapel",25093,25198
"Russell Square Station, Bloomsbury",15171,15437
"Sackville Street, Mayfair",13272,12748
"Sadlers Sports Centre, Finsbury",14380,14824
"Sail Street, Vauxhall",8250,9306
"Salmon Lane, Limehouse",9047,9450
"Saltoun Road, Brixton",10138,8318
"Sancroft Street, Vauxhall",7318,8156
"Sandilands Road, Walham Green",11431,11684
"Santos Road, Wandsworth",1805,2083
