Station Name,Lat,Lng,Borough
"Denyer Street, Knightsbridge",51.488692,-0.14201,City of Westminster
"Wellington Arch, Hyde Park",51.51376,-0.107883,City of London
"Greyhound Road, Hammersmith",51.51564,-0.105704,City of London
"St. Mark's Road, North Kensington",51.493703,-0.174543,Kensington and Chelsea
"Smugglers Way, Wandsworth",-19.277057,146.796489,Wandsworth
"Pont Street, Knightsbridge",51.513788,-0.022017,Tower Hamlets
"Waterloo Station 3, Waterloo",51.534486,-0.106961,Islington
"Royal London Hospital, Whitechapel",51.514002,-0.131752,City of Westminster
"Baldwin Street, St. Luke's",51.519243,-0.07252,Tower Hamlets
"Bermondsey Street, Bermondsey",51.497546,-0.081803,Southwark
"Graham Street, Angel",51.507687,-0.146346,City of Westminster
"Southampton Street, Strand",51.506803,-0.146975,City of Westminster
"Cadogan Gardens, Chelsea",51.490072,-0.162381,Kensington and Chelsea
"Castlehaven Road, Camden Town",51.496884,-0.171637,Kensington and Chelsea
"Wapping Lane, Wapping",51.482335,-0.136272,Wandsworth
"Exhibition Road Museums, South Kensington",51.496916,-0.173877,Kensington and Chelsea
"Pennington Street, Wapping",51.531125,-0.085958,Hackney
"Clarkson Street, Bethnal Green",51.541654,-0.004785,Newham
"Fournier Street, Whitechapel",51.513483,-0.143471,City of Westminster
"Bedford Way, Bloomsbury",51.509248,-0.084728,City of London
"Chelsea Green, Chelsea",51.481822,-0.185354,Kensington and Chelsea
"Long Lane , Bermondsey",51.496949,-0.093991,Southwark
"Palissy Street, Shoreditch",51.51702,-0.093849,City of London
"Milroy Walk, South Bank",51.477035,-0.116028,Lambeth
"Bruton Street, Mayfair",51.508834,-0.137641,City of Westminster
"St. George's Square, Pimlico",51.531127,-0.119298,Islington
"Knaresborough Place, Earl's Court",50.872532,-2.964589,City of Westminster
"Paddington Green, Paddington",51.461427,-0.200641,Wandsworth
"Waterloo Bridge, South Bank",51.464499,-0.163529,Wandsworth
"Cephas Street, Bethnal Green",51.540282,-0.021661,Tower Hamlets
"Portman Square, Marylebone",51.518943,-0.07885,City of London
"Chrisp Street Market, Poplar",51.467,-0.193591,Hammersmith and Fulham
"Antill Road, Mile End",51.504107,-0.06391,Tower Hamlets
"Wellington Row, Bethnal Green",51.528237,-0.070547,Tower Hamlets
"Harford Street, Mile End",51.518247,-0.021241,Tower Hamlets
"Duke Street Hill, London Bridge",51.505915,-0.08703,Southwark
"Plough Terrace, Clapham Junction",51.530579,-0.168392,City of Westminster
"Twig Folly Bridge, Mile End",51.533026,-0.02776,Tower Hamlets
"Haggerston Road, Haggerston",51.526356,-0.073749,Tower Hamlets
"Hoxton Station, Hoxton",51.524685,-0.084045,Hackney
"Albany Street, The Regent's Park",51.482765,-0.219984,Hammersmith and Fulham
"Gaywood  Street, Elephant & Castle",51.491038,-0.209479,Hammersmith and Fulham
"Bishop's Bridge Road West, Bayswater",51.47761,-0.147585,Wandsworth
"Kensington Church Street, Kensington",51.521067,-0.145478,City of Westminster
"Elizabeth Bridge, Victoria",51.51287,-0.039046,Tower Hamlets
"Grosvenor Square, Mayfair",51.519635,-0.139508,City of Westminster
"Queen's Gate, Kensington Gardens",51.522616,-0.071623,Tower Hamlets
"City Road, Angel",51.503969,-0.210728,Kensington and Chelsea
"Goldsmith's Row, Haggerston",51.515099,-0.105443,City of London
"Harrowby Street, Marylebone",51.517315,-0.164435,City of Westminster
"Goswell Road (City Uni), Finsbury",51.461894,-0.167565,Wandsworth
"King Edward Walk, Waterloo",51.528137,-0.091615,Islington
